seq,prompt_idx,start_epoch_ms,end_epoch_ms,latency_ms,http_code,time_total_sec,openai_processing_ms
1,0,1771585727525,1771585729073,1548,200,1.498418,1467
2,1,1771585730191,1771585734340,4149,200,4.107618,4067
3,2,1771585735445,1771585736592,1147,200,1.106952,1071
4,3,1771585737691,1771585741886,4195,200,4.155006,4057
5,4,1771585742986,1771585747425,4439,200,4.387235,4340
6,5,1771585748529,1771585753231,4702,200,4.655348,4601
7,6,1771585754335,1771585759367,5032,200,4.987116,4782
8,7,1771585760472,1771585765304,4832,200,4.791409,4759
9,8,1771585766415,1771585772237,5822,200,5.778200,5718
10,9,1771585773339,1771585780371,7032,200,6.982204,5832
