run,cpu_mean,cpu_peak,cpu_auc,ram_mean,ram_peak,ram_auc,disk_util_mean,disk_util_peak,disk_util_auc,disk_read_mean,disk_read_peak,disk_read_auc,disk_write_mean,disk_write_peak,disk_write_auc
run_1,7.992747774999999,79.292928,2369.3865155,850.2262914999998,854.7578,250813.286825,4.268333333333333,95.4,1251.25,29.24000001333333,165.6,8772.000004,43.667245275,292.0578,11968.029082500001
run_2,6.256095743333333,12.576689,1847.7357830000003,849.6280094999998,852.79768,250640.18222500003,2.664999999999999,70.6,788.25,24.706666390000002,267.2,7411.999917,39.38064675166667,156.800014,11483.09706575
run_3,6.343966985,12.5523322,1876.09077125,848.3838621116666,851.37342,250270.52641675,1.1744444449999998,7.6,347.66666675,20.351511593333335,243.49072,5496.726678000001,36.42666615666666,168.5243998,10881.99984675
run_4,7.2975161816666665,61.5674614,2159.58746,850.3643811116667,852.8422,250857.20051675,2.806666666666667,87.4,838.5,33.89333323333334,210.400002,10167.99997,42.09669231666667,186.85888,12368.50378175
run_5,6.3424139833333335,11.3543052,1875.5229037499998,851.0141228883333,852.15232,251049.31758325,1.1066666666666667,5.8,330.0,28.893333543333327,257.26808,8668.000063,34.29601354166667,202.3999956,10190.79895425
run_6,6.183854788333334,11.951771399999998,1826.9237282500003,851.4941883333335,852.7906,251193.30005,1.202222221666667,5.6,359.33333325,15.653333596666668,159.200012,4696.0000789999995,40.146665963333334,186.6966744,11961.999789000001
run_7,6.847651821666665,16.111136600000002,2026.28680925,857.0858103333333,860.13906,252846.3872,2.2666666666666666,53.2,679.5,51.17333366333333,255.115808,15352.000099,38.977315441666654,187.2,11629.282502499998
run_8,6.480735966666667,12.646578,1896.2811007500002,859.0488282500002,861.69768,253427.4746875,1.5958333333333334,10.75,438.375,43.335967718333336,280.388552,12497.33539675,48.68085946833333,597.743175,12688.697713
run_9,6.956821223333334,29.249493,1985.347331,855.9083514166667,860.69924,252507.8916125,2.685833333333333,77.6,592.375,58.40000017333333,256.000004,17520.000051999996,38.52189838000001,195.3965735,10859.87811525
run_10,6.5478694483333335,13.3170908,1917.6073564999997,854.3987789999998,856.975,252049.85935,1.1866666666666668,4.6,348.5,31.833520019999998,194.4,9291.028006000002,38.51850726666667,179.839382,11364.432120000001
