run,start_epoch,ready_epoch,end_epoch,t_ready_sec,t_total_sec,cpu_mean,cpu_peak,cpu_auc,ram_mean,ram_peak,ram_auc,disk_util_mean,disk_util_peak,disk_util_auc,disk_read_mean,disk_read_peak,disk_read_auc,disk_write_mean,disk_write_peak,disk_write_auc
run_1,1769067633,1769067645,1769067675,12,42,29.30902526363636,79.3398278,1525.9044024999998,1111.6110127272725,1265.53048,55826.984599999996,16.21818181818182,82.6,738.5,59.490907345454545,221.5999942,2515.9999335,296.2181658181818,1739.773134,15755.940795
run_2,1769067678,1769067690,1769067720,12,42,32.7232283909091,86.50133659999999,1705.085519,1184.2740763636366,1265.53048,58865.76565000001,18.581818181818182,82.6,813.5,98.32727161818183,242.4,5202.226394,428.4624576727272,1739.773134,19183.3436785
run_3,1769067723,1769067738,1769067768,15,45,39.21937869090909,90.5152374,1988.124879,1205.4749318181819,1258.19925,60037.316525,21.145454545454548,97.4,948.5,51.19176301818182,291.321085,2609.7734210000003,353.73737045454544,2110.545,14146.5342165
run_4,1769067771,1769067783,1769067813,12,42,34.51853042727273,71.1619494,1690.0142145000002,1202.4421430272728,1258.12734,59868.60233324999,16.224242427272728,97.4,647.16666675,10.836364545454545,81.60001,596.00005,363.9800426909091,1008.8287796,19054.769624750003
run_5,1769067816,1769067839,1769067869,23,53,31.19809579230769,86.70355529999999,1985.3578645000002,1198.8468353846154,1289.90702,71585.95575000001,13.758974361538462,88.4,874.66666675,49.50604877692308,165.6,2984.94658725,310.4202562076923,1871.725636,18162.52852625
run_6,1769067872,1769067884,1769067914,12,42,29.09619468181818,77.230792,1551.6940955000002,1210.9622868181818,1289.90702,60198.500037499995,6.040909090909093,24.6,317.625,50.23347841818181,159.2,2057.4206759999997,262.68459178181814,1088.852794,13867.394645
run_7,1769067917,1769067932,1769067962,15,45,30.109690718181813,80.32789,1609.96830925,1205.3195981818183,1273.31796,59949.44899999999,14.181818181818182,45.8,776.0,91.31154289090911,267.44868,4353.6093995,280.28356064545454,934.032532,14907.265335499998
run_8,1769067965,1769067977,1769068007,12,42,27.29518412727273,81.4296274,1454.0558580000002,1203.4573090909091,1262.86016,59893.109099999994,4.581818181818182,22.8,240.0,58.69090845454546,267.44868,2559.3782650000003,255.20747430909094,1179.19998,13432.737649500003
run_9,1769068010,1769068022,1769068052,12,42,32.529075763636364,74.7762688,1627.9077940000002,1196.7606554545455,1255.96094,59557.812574999996,21.10909090909091,98.0,859.0,3.4909090909090916,25.6,192.0,385.48895576363634,1250.1188,15128.595616999999
run_10,1769068056,1769068068,1769068098,12,42,36.28973777272727,65.9116877,1785.198285,1206.089841818182,1258.8281,60065.46875000001,29.236363636363638,95.0,1149.5,9.81818090909091,75.99999,539.99995,412.9364476545454,963.859734,19321.247361
