step,run,START_EPOCH,READY_EPOCH,END_EPOCH,T_ready,T_total,cpu_mean,cpu_peak,cpu_auc,ram_mean,ram_peak,ram_auc,disk_util_mean,disk_util_peak,disk_util_auc,disk_io_read_mean,disk_io_read_peak,disk_io_read_auc,disk_io_write_mean,disk_io_write_peak,disk_io_write_auc
step04_apply_deployment,1,1769150264,1769150283,1769150283,19.0,19.0,37.301478475,65.0247636,603.66853275,1375.355913325,1379.9557333,20623.34228325,33.133333325,74.4,581.33333325,5.9697265,23.878906,59.697265,2069.62986115,4602.5283,36653.2498665
step04_apply_deployment,2,1769150286,1769150305,1769150305,19.0,19.0,62.92065757500001,89.47661780000001,1001.76944175,1378.315615,1390.83438,20661.3592,75.00000000000001,98.8,1240.0,6.6000000000000005,13.6000008,85.9999995,4593.276508,8223.043,72601.87514999999
step04_apply_deployment,3,1769150311,1769150316,1769150316,5.0,5.0,75.0123936,82.0741147,225.0371808,1370.7037833499999,1383.7357,4112.11135005,54.83333335,97.6666667,164.50000004999998,0.0,0.0,0.0,772.95182,822.5641033,2318.8554599999998
step04_apply_deployment,4,1769150319,1769150322,1769150322,3.0,3.0,66.4895583,74.08422560000001,132.9791166,1381.1835999999998,1393.5176,2762.3671999999997,40.0,47.0,80.0,32.0,52.28692,64.0,1779.8781,1853.8067,3559.7562
step04_apply_deployment,5,1769150333,1769150337,1769150337,4.0,4.0,78.17952675000001,90.4639155,156.35905350000002,1399.7949250000001,1409.24025,2799.5898500000003,63.0,93.0,126.0,267.005525,534.01105,534.01105,1253.510185,2028.63865,2507.02037
step04_apply_deployment,6,1769150340,1769150346,1769150346,6.0,6.0,46.230956250000006,50.3431876,138.69286875,1400.8925832999998,1406.0820333,4202.6777499,56.333333350000004,57.0,169.00000005,20.66666665,41.3333333,61.99999995,459.28460835,603.1915467,1377.85382505
step04_apply_deployment,7,1769150350,1769150353,1769150353,3.0,3.0,70.21895674999999,74.0586325,140.43791349999998,1397.5879,1407.74415,2795.1758,39.75,50.5,79.5,0.0,0.0,0.0,1037.4737575,1827.58075,2074.947515
step04_apply_deployment,8,1769150356,1769150359,1769150359,3.0,3.0,66.6379127,66.9301394,133.2758254,1400.08005,1401.86325,2800.1601,27.25,37.5,54.5,0.0,0.0,0.0,873.472925,1139.39135,1746.94585
step04_apply_deployment,9,1769150362,1769150365,1769150365,3.0,3.0,72.1776325,81.601939,144.355265,1400.73925,1406.60155,2801.4785,35.5,35.5,71.0,20.666185249999998,32.0000005,41.332370499999996,1453.398025,1890.73985,2906.79605
step04_apply_deployment,10,1769150369,1769150372,1769150372,3.0,3.0,53.0012761,62.2134809,106.0025522,1406.3398499999998,1419.3789,2812.6796999999997,18.5,26.0,37.0,0.0,0.0,0.0,1147.4550749999999,1289.42735,2294.9101499999997
