step,run,START_EPOCH,READY_EPOCH,END_EPOCH,T_ready,T_total,cpu_mean,cpu_peak,cpu_auc,ram_mean,ram_peak,ram_auc,disk_util_mean,disk_util_peak,disk_util_auc,disk_io_read_mean,disk_io_read_peak,disk_io_read_auc,disk_io_write_mean,disk_io_write_peak,disk_io_write_auc
step10_delete_deployment,1,1769160116,,1769160117,,1.0,22.405175,36.224492,22.405175,1346.38285,1350.7891,1346.38285,0.0,0.0,0.0,31.16302,62.32604,31.16302,9.797770649999999,18.15957,9.797770649999999
step10_delete_deployment,2,1769160124,,1769160125,,1.0,70.324152,86.340208,70.324152,1341.25585,1344.8945,1341.25585,46.5,68.0,46.5,140.32276,213.0408,140.32276,1954.46985,2437.334,1954.46985
step10_delete_deployment,3,1769160132,,1769160133,,1.0,29.30070025,34.358976,29.30070025,1346.86525,1347.9219,1346.86525,1.0,2.0,1.0,10.0,16.429994,10.0,100.0,164.29994,100.0
step10_delete_deployment,4,1769160141,,1769160142,,1.0,84.39263009999999,92.76485,84.39263009999999,1343.99215,1352.6562,1343.99215,63.5,100.0,63.5,179.999975,293.7699,179.999975,1461.62815,1616.7886,1461.62815
step10_delete_deployment,5,1769160146,,1769160147,,1.0,52.38533460000001,67.525771,52.38533460000001,1356.0,1356.8398,1356.0,22.0,35.0,22.0,678.19115,807.6369,678.19115,945.1624,1548.9564,945.1624
step10_delete_deployment,6,1769160152,,1769160153,,1.0,26.579215,38.10741,26.579215,1355.94335,1356.6797,1355.94335,0.5,1.0,0.5,98.52714,101.76673,98.52714,78.282105,156.56421,78.282105
step10_delete_deployment,7,1769160157,,1769160158,,1.0,86.532813,89.086295,86.532813,1363.1797,1363.3164,1363.1797,39.0,46.0,39.0,518.4988,564.483,518.4988,1085.94315,1300.8674,1085.94315
step10_delete_deployment,8,1769160162,,1769160163,,1.0,63.7280159,82.3529379,63.7280159,1370.8164000000002,1374.1719,1370.8164000000002,16.5,23.0,16.5,0.0,0.0,0.0,738.09095,917.763,738.09095
step10_delete_deployment,9,1769160170,,1769160171,,1.0,77.56388749999999,82.77635699999999,77.56388749999999,1374.68165,1382.3086,1374.68165,68.0,98.0,68.0,212.802575,265.38,212.802575,3442.6915,4857.055,3442.6915
step10_delete_deployment,10,1769160179,,1769160180,,1.0,27.46823065,35.1421159,27.46823065,1377.07225,1377.8672,1377.07225,0.5,1.0,0.5,4.9329905,9.865981,4.9329905,84.0,138.1089,84.0
