time,free,used,cached,buffers
2026-02-13 19:22:05,2879.2034,1292.82892,3323.4252,316.8906
2026-02-13 19:22:00,2880.622,1291.4133,3323.422,316.8906
2026-02-13 19:21:55,2878.3924,1293.643,3323.422,316.8906
2026-02-13 19:21:50,2878.7688,1293.26638,3323.422,316.8906
2026-02-13 19:21:45,2880.34,1291.6953,3323.422,316.8906
2026-02-13 19:21:40,2874.4486,1297.5875,3323.4212,316.8906
2026-02-13 19:21:35,2873.8898,1298.14532,3323.422,316.8906
2026-02-13 19:21:30,2873.1992,1298.84376,3323.414,316.8906
2026-02-13 19:21:25,2872.985,1299.06094,3323.4108,316.8906
2026-02-13 19:21:20,2872.6992,1299.35158,3323.41,316.8867
2026-02-13 19:21:15,2872.4046,1299.64376,3323.4124,316.8867
2026-02-13 19:21:10,2871.0506,1301.12422,3323.2858,316.8867
2026-02-13 19:21:05,2871.4234,1300.75232,3323.285,316.8867
2026-02-13 19:21:00,2871.7712,1300.52968,3323.16,316.8867
2026-02-13 19:20:55,2873.0406,1299.26016,3323.16,316.8867
2026-02-13 19:20:50,2872.3178,1299.99062,3323.152,316.8867
2026-02-13 19:20:45,2874.04,1298.26874,3323.152,316.8867
2026-02-13 19:20:40,2875.4008,1296.90782,3323.152,316.8867
2026-02-13 19:20:35,2876.3884,1295.92186,3323.1512,316.88592
2026-02-13 19:20:30,2874.0384,1298.28128,3323.1464,316.88202
2026-02-13 19:20:25,2873.6054,1298.71876,3323.145,316.8789
2026-02-13 19:20:20,2875.8384,1296.48594,3323.145,316.8789
2026-02-13 19:20:15,2876.6358,1295.69218,3323.145,316.875
2026-02-13 19:20:10,2877.0734,1295.25468,3323.145,316.875
2026-02-13 19:20:05,2877.5298,1294.79844,3323.145,316.875
2026-02-13 19:20:00,2876.753,1295.57498,3323.145,316.875
2026-02-13 19:19:55,2879.0546,1293.27346,3323.145,316.875
2026-02-13 19:19:50,2876.7118,1295.59766,3323.1636,316.875
2026-02-13 19:19:45,2877.5874,1294.70938,3323.176,316.875
2026-02-13 19:19:40,2868.0938,1304.2047,3323.1744,316.875
2026-02-13 19:19:35,2864.1078,1308.1953,3323.1696,316.875
2026-02-13 19:19:30,2864.9306,1307.38202,3323.168,316.8672
2026-02-13 19:19:25,2863.3568,1308.95546,3323.168,316.8672
2026-02-13 19:19:20,2863.5672,1308.74532,3323.168,316.8672
2026-02-13 19:19:15,2863.4142,1308.9,3323.168,316.86564
2026-02-13 19:19:10,2862.6834,1309.64452,3323.1564,316.8633
2026-02-13 19:19:05,2864.7626,1307.57734,3323.145,316.8633
2026-02-13 19:19:00,2863.939,1308.40704,3323.1386,316.8633
2026-02-13 19:18:55,2863.3462,1309.0117,3323.129,316.86096
2026-02-13 19:18:50,2864.3286,1308.03672,3323.1226,316.8594
2026-02-13 19:18:45,2862.9056,1309.46952,3323.113,316.8594
2026-02-13 19:18:40,2863.8448,1308.5336,3323.11,316.8594
2026-02-13 19:18:35,2866.7984,1305.59688,3323.0932,316.8594
2026-02-13 19:18:30,2867.16,1305.2492,3323.0828,316.8555
2026-02-13 19:18:25,2865.1538,1307.26798,3323.07,316.8555
2026-02-13 19:18:20,2865.4538,1306.9711,3323.067,316.8555
2026-02-13 19:18:15,2865.5046,1306.93284,3323.055,316.8555
2026-02-13 19:18:10,2865.0782,1307.36248,3323.0518,316.8555
2026-02-13 19:18:05,2865.924,1306.5289,3323.039,316.8555
2026-02-13 19:18:00,2866.5968,1305.85702,3323.0382,316.8555
2026-02-13 19:17:55,2866.464,1305.99296,3323.035,316.8555
2026-02-13 19:17:50,2864.996,1307.46094,3323.035,316.8555
2026-02-13 19:17:45,2864.5868,1307.8742,3323.031,316.8555
2026-02-13 19:17:40,2864.6506,1307.81014,3323.031,316.8555
2026-02-13 19:17:35,2867.1686,1305.30782,3323.016,316.8555
2026-02-13 19:17:30,2867.6218,1304.9836,3322.887,316.8555
2026-02-13 19:17:25,2868.3672,1304.24142,3322.8838,316.8555
2026-02-13 19:17:20,2869.6562,1302.95,3322.8862,316.8555
2026-02-13 19:17:15,2871.3296,1301.27578,3322.887,316.8555
2026-02-13 19:17:10,2869.2578,1303.34844,3322.8862,316.8555
