time,utilization
2026-02-13 19:38:05,3.6
2026-02-13 19:38:00,0
2026-02-13 19:37:55,0
2026-02-13 19:37:50,0
2026-02-13 19:37:45,2.2
2026-02-13 19:37:40,0.2
2026-02-13 19:37:35,1
2026-02-13 19:37:30,1.8
2026-02-13 19:37:25,0.4
2026-02-13 19:37:20,4
2026-02-13 19:37:15,1.2
2026-02-13 19:37:10,1.2
2026-02-13 19:37:05,3
2026-02-13 19:37:00,3
2026-02-13 19:36:55,0.2
2026-02-13 19:36:50,1.8
2026-02-13 19:36:45,0.2
2026-02-13 19:36:40,3
2026-02-13 19:36:35,4.4
2026-02-13 19:36:30,0.4
2026-02-13 19:36:25,25
2026-02-13 19:36:20,77.2
2026-02-13 19:36:15,23.2
2026-02-13 19:36:10,2.2
2026-02-13 19:36:05,0.4
2026-02-13 19:36:00,1.6
2026-02-13 19:35:55,0.8
2026-02-13 19:35:50,1.2
2026-02-13 19:35:45,0
2026-02-13 19:35:40,1.8
2026-02-13 19:35:35,2.2
2026-02-13 19:35:30,0
2026-02-13 19:35:25,1.8
2026-02-13 19:35:20,1.2
2026-02-13 19:35:15,0.2
2026-02-13 19:35:10,1
2026-02-13 19:35:05,0.4
2026-02-13 19:35:00,0.2
2026-02-13 19:34:55,0.4
2026-02-13 19:34:50,0.8
2026-02-13 19:34:45,1.8
2026-02-13 19:34:40,3.4
2026-02-13 19:34:35,0.2
2026-02-13 19:34:30,1
2026-02-13 19:34:25,0.2
2026-02-13 19:34:20,0.4
2026-02-13 19:34:15,0.6
2026-02-13 19:34:10,1.2
2026-02-13 19:34:05,1.8
2026-02-13 19:34:00,1
2026-02-13 19:33:55,0.6
2026-02-13 19:33:50,0.2
2026-02-13 19:33:45,0.2
2026-02-13 19:33:40,1
2026-02-13 19:33:35,1.6
2026-02-13 19:33:30,0.4
2026-02-13 19:33:25,1.8
2026-02-13 19:33:20,0.6
2026-02-13 19:33:15,0.2
2026-02-13 19:33:10,3.2
