run,T_scale_up,T_scale_down,T_total,cpu_mean,cpu_peak,cpu_auc,ram_mean,ram_peak,ram_auc,disk_mean,disk_peak,disk_auc,net_rx_peak_kbps,net_tx_peak_kbps
1,51,23,412,11.303948954216866,29.6411977,4606.213306500001,1366.742532710843,1385.88126,560378.3059375001,3.3379518072289156,96.25,1139.625,0.0,0.0003104
2,49,24,414,11.789937687951806,62.008830599999996,4773.18359775,1360.7202664457832,1393.09922,557863.6781375001,3.383132530120482,97.2,1383.0,0.0003104,0.0
3,38,26,428,11.722345761627908,48.342733300000006,4978.10240525,1357.6445194186047,1374.13672,577003.6589749999,4.6395348837209305,66.0,1979.0,0.0005204133,0.0
4,41,25,349,11.572867447142855,38.004434,3924.0296702500004,1366.9706457142856,1388.31562,471650.84125,3.4599999999999995,61.6,1192.5,0.0,0.0
5,39,23,374,11.280286145333335,29.838705,4148.919880750001,1364.8087432893333,1381.31874,504956.93636675,4.6844444439999995,70.4,1752.83333325,0.0,0.0
6,38,22,351,11.348744985915493,33.073768099999995,3911.2582405000003,1371.988054225352,1390.80232,480238.277775,2.876056338028169,45.0,892.5,0.0,0.0
7,51,21,315,11.364024792063491,34.191228100000004,3491.8148905000003,1374.33697968254,1387.2969,426161.02745,1.911111111111111,8.2,591.5,0.0,0.0
8,39,27,397,12.11667013375,73.3813849,4733.871157,1370.4543819375,1381.47424,541385.3372375,4.702500000000001,96.6,1855.0,0.0,0.0
9,52,24,395,10.976137572151899,21.5100774,4272.429308,1347.315757889873,1371.7883,525466.21328325,1.7822784810126584,7.2,693.5,0.0,0.0003104
10,38,21,336,12.423409827941175,66.7439236,4137.0950905,1345.4390977455885,1357.77812,450733.18971675,4.063725489705882,93.0,1367.83333325,0.0,0.0
