step,Mean CPU (avg of runs),Peak RAM (avg of runs),AUC Disk (avg of runs),T_total (avg of runs),n_runs,CPU_mean_std,RAM_peak_std,Disk_auc_std,T_total_std
step01_system_idle,,855.6225000000001,,,10,,3.936771681421759,,
step02_start_master,32.22881416286713,1267.816875,736.4458333499999,,10,3.6388144880436912,12.688499806623904,276.29522425500295,
step03_cluster_idle,8.894943355,1379.8112489999999,766.25,300.0,10,0.3370568432021775,85.4897738769277,304.15952046399747,0.0
step04_apply_deployment,62.817034899999996,1399.89535466,260.283333335,6.8,10,13.240217279987817,12.4595336626911,378.839171132776,6.511528238439883
step05_deployment_idle,9.040659207666668,1378.210354,870.17916665,300.0,10,0.45616547705056715,5.846192794297248,320.0043257979711,0.0
step06_scale_up_down,,,,5.3,10,,,,1.9465068427541912
step07_rollout_restart,44.84860497,1428.2364696700001,147.704166675,9.1,10,12.002795499437918,22.857327205312266,104.84015695107998,2.0789954839350235
step08_cordon_uncordon,,,,,10,,,,
step09_stop_final_idle,8.193463284615383,1153.14144,97.16666675,63.0,1,,,,
step10_delete_deployment,54.0680154,1360.74453,25.75,1.0,10,25.744791070249516,13.153151047904798,26.80510938028213,0.0
